"Withdrawal receipt verified","Doklad o odstúpení bol overený"
"Withdrawal receipt — verification failed","Doklad o odstúpení — overenie zlyhalo"
"Public integrity check — Art. 11a Directive 2011/83/EU","Verejná kontrola integrity — čl. 11a smernice 2011/83/EÚ"
"Receipt verified","Potvrdenie overené"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Tento doklad je kryptograficky podpísaný a od jeho vystavenia obchodníkom nebol zmenený."
"Back to my account","Späť na môj účet"
"Integrity hash (SHA-256)","Integritný hash (SHA-256)"
"Copy hash","Kopírovať hash"
"Copy","Kopírovať"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Ktokoľvek, kto má pôvodný e-mail s dokladom, môže prepočítať tento hash a potvrdiť, že doklad nebol zmenený. Nezhoda znamená, že doklad bol po vystavení upravený."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Táto stránka nie je indexovateľná (X-Robots-Tag: noindex) a je obmedzená rýchlosťou. Opakované pokusy o overenie z tej istej IP adresy sú obmedzované."
"Verification failed","Overenie zlyhalo"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Tento odkaz nezodpovedá platnému dokladu o odstúpení. Odkaz môže byť nesprávny, doklad mohol byť zrušený alebo požiadavka na overenie bola obmedzená rýchlosťou. Ak ste odkaz skopírovali z e-mailu, skúste to znova o niekoľko minút — alebo nás kontaktujte, ak problém pretrváva."
"Verify this receipt","Overiť toto potvrdenie"
"Integrity hash","Kontrolný hash"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Tento SHA-256 hash jednoznačne identifikuje tvoj záznam o odstúpení. Môžeš ho kedykoľvek overiť pomocou tlačidla vyššie."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Ktokoľvek, kto má pôvodný e-mail s dokladom, môže prepočítať tento hash a potvrdiť, že doklad nebol zmenený. Nezhoda znamená, že doklad bol po vystavení upravený. Kliknutím na hash ho vyberte a potom skopírujte pomocou Ctrl+C / ⌘+C."
