"Withdrawal receipt verified","Peruutuksen kuitti on vahvistettu"
"Withdrawal receipt — verification failed","Peruutuksen kuitti — vahvistus epäonnistui"
"Public integrity check — Art. 11a Directive 2011/83/EU","Julkinen eheystarkistus — direktiivin 2011/83/EU 11 a artikla"
"Receipt verified","Kuitti vahvistettu"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Tämä kuitti on kryptografisesti allekirjoitettu, eikä sitä ole muutettu sen jälkeen, kun kauppias sen myönsi."
"Back to my account","Takaisin omalle tilille"
"Integrity hash (SHA-256)","Eheystiiviste (SHA-256)"
"Copy hash","Kopioi tiiviste"
"Copy","Kopioi"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Kuka tahansa, jolla on alkuperäinen kuittisähköposti, voi laskea tämän tiivisteen uudelleen ja varmistaa, ettei kuittia ole muutettu. Ero tarkoittaa, että kuittia on muutettu sen myöntämisen jälkeen."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Tätä sivua ei indeksoida (X-Robots-Tag: noindex), ja sillä on nopeusrajoitus. Toistuvat vahvistusyritykset samasta IP-osoitteesta rajoitetaan."
"Verification failed","Vahvistus epäonnistui"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Tämä linkki ei vastaa kelvollista peruutuskuittia. Linkki voi olla virheellinen, kuitti on saatettu peruuttaa, tai vahvistuspyynnön nopeutta on rajoitettu. Jos kopioit linkin sähköpostista, yritä uudelleen muutaman minuutin kuluttua — tai ota yhteyttä, jos ongelma jatkuu."
"Verify this receipt","Vahvista tämä kuitti"
"Integrity hash","Eheystiiviste"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Tämä SHA-256-tiiviste yksilöi peruutustietueesi yksiselitteisesti. Voit vahvistaa sen milloin tahansa yllä olevalla painikkeella."
