"Withdrawal receipt verified","Fortrydelseskvittering verificeret"
"Withdrawal receipt — verification failed","Fortrydelseskvittering — verificering mislykkedes"
"Public integrity check — Art. 11a Directive 2011/83/EU","Offentlig integritetskontrol — art. 11a direktiv 2011/83/EU"
"Receipt verified","Kvittering verificeret"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Denne kvittering er kryptografisk signeret og er ikke blevet ændret, siden den blev udstedt af forhandleren."
"Back to my account","Tilbage til min konto"
"Integrity hash (SHA-256)","Integritetshash (SHA-256)"
"Copy hash","Kopiér hash"
"Copy","Kopiér"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Enhver, der har den oprindelige kvitterings-e-mail, kan genberegne dette hash for at bekræfte, at kvitteringen ikke er blevet ændret. Uoverensstemmelse betyder, at kvitteringen er ændret efter udstedelsen."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Denne side er anti-indekseret (X-Robots-Tag: noindex) og hastighedsbegrænset. Gentagne verificeringsforsøg fra samme IP throttles."
"Verification failed","Verificering mislykkedes"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Dette link matcher ikke en gyldig fortrydelseskvittering. Linket kan være forkert, kvitteringen kan være tilbagekaldt, eller verificeringsanmodningen blev hastighedsbegrænset. Hvis du kopierede linket fra en e-mail, så prøv igen om et par minutter — eller kontakt os, hvis problemet fortsætter."
"Verify this receipt","Verificér denne kvittering"
"Integrity hash","Integritetshash"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Denne SHA-256-hash identificerer din fortrydelsesregistrering entydigt. Du kan til enhver tid verificere den med knappen ovenfor."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Enhver, der har den oprindelige kvitterings-e-mail, kan genberegne dette hash for at bekræfte, at kvitteringen ikke er blevet ændret. Uoverensstemmelse betyder, at kvitteringen er ændret efter udstedelsen. Klik på hashen for at markere den, og kopiér derefter med Ctrl+C / ⌘+C."
