"Withdrawal receipt verified","Удостоверение за отказ е проверено"
"Withdrawal receipt — verification failed","Удостоверение за отказ — проверката е неуспешна"
"Public integrity check — Art. 11a Directive 2011/83/EU","Публична проверка на цялостност — чл. 11а Директива 2011/83/ЕС"
"Receipt verified","Разписката е проверена"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Това удостоверение е криптографски подписано и не е променяно от издаването му от търговеца."
"Back to my account","Обратно към профила ми"
"Integrity hash (SHA-256)","Хеш за цялост (SHA-256)"
"Copy hash","Копиране на хеш"
"Copy","Копиране"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Всеки, който разполага с оригиналното имейл удостоверение, може да преизчисли този хеш, за да потвърди, че удостоверението не е променяно. Несъответствие означава, че удостоверението е било променено след издаването му."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Тази страница е защитена от индексиране (X-Robots-Tag: noindex) и с ограничение на честотата. Повторни опити за проверка от един и същи IP се ограничават."
"Verification failed","Проверката е неуспешна"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Тази връзка не съответства на валидно удостоверение за отказ. Връзката може да е неправилна, удостоверението може да е било отменено или заявката за проверка е била ограничена. Ако сте копирали връзката от имейл, моля опитайте отново след няколко минути — или се свържете с нас, ако проблемът продължи."
"Verify this receipt","Провери това потвърждение"
"Integrity hash","Хеш за цялост"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Този SHA-256 хеш идентифицира уникално записа за отказа ти. Можеш да го провериш по всяко време чрез бутона по-горе."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Всеки, който разполага с оригиналното имейл удостоверение, може да преизчисли този хеш, за да потвърди, че удостоверението не е променяно. Несъответствие означава, че удостоверението е било променено след издаването му. Кликнете върху хеша, за да го изберете, след което копирайте с Ctrl+C / ⌘+C."
