"Withdrawal receipt verified","Atteikuma kvīts ir pārbaudīta"
"Withdrawal receipt — verification failed","Atteikuma kvīts — pārbaude neizdevās"
"Public integrity check — Art. 11a Directive 2011/83/EU","Publiska integritātes pārbaude — Direktīvas 2011/83/ES 11.a pants"
"Receipt verified","Kvīts pārbaudīta"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Šī kvīts ir kriptogrāfiski parakstīta un nav mainīta kopš tās izsniegšanas brīža no tirgotāja puses."
"Back to my account","Atpakaļ uz manu kontu"
"Integrity hash (SHA-256)","Integritātes jaucējkods (SHA-256)"
"Copy hash","Kopēt jaucējkodu"
"Copy","Kopēt"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Ikviens, kuram ir oriģinālais kvīts e-pasts, var pārrēķināt šo jaucējkodu, lai apstiprinātu, ka kvīts nav mainīta. Neatbilstība nozīmē, ka kvīts pēc izsniegšanas tika mainīta."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Šī lapa nav indeksējama (X-Robots-Tag: noindex) un ar ātruma ierobežojumu. Atkārtoti pārbaudes mēģinājumi no vienas un tās pašas IP tiek ierobežoti."
"Verification failed","Pārbaude neizdevās"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Šī saite neatbilst derīgai atteikuma kvītij. Saite var būt nepareiza, kvīts varētu būt atcelta vai pārbaudes pieprasījumam tika piemērots ātruma ierobežojums. Ja saiti kopējāt no e-pasta, lūdzu mēģiniet vēlreiz pēc dažām minūtēm — vai sazinieties ar mums, ja problēma saglabājas."
"Verify this receipt","Pārbaudīt šo apliecinājumu"
"Integrity hash","Integritātes jaucējkods"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Šis SHA-256 jaucējkods unikāli identificē tava atteikuma ierakstu. Vari to pārbaudīt jebkurā laikā, izmantojot pogu augšpusē."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Ikviens, kuram ir oriģinālais kvīts e-pasts, var pārrēķināt šo jaucējkodu, lai apstiprinātu, ka kvīts nav mainīta. Neatbilstība nozīmē, ka kvīts pēc izsniegšanas tika mainīta. Noklikšķiniet uz jaucējkoda, lai to atlasītu, pēc tam kopējiet ar Ctrl+C / ⌘+C."
