"Withdrawal receipt verified","Atsisakymo kvitas patikrintas"
"Withdrawal receipt — verification failed","Atsisakymo kvitas — patikrinimas nepavyko"
"Public integrity check — Art. 11a Directive 2011/83/EU","Vieša vientisumo patikra — Direktyvos 2011/83/ES 11a str."
"Receipt verified","Kvitas patikrintas"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Šis kvitas yra kriptografiškai pasirašytas ir nebuvo pakeistas nuo to laiko, kai jį išdavė pardavėjas."
"Back to my account","Atgal į mano paskyrą"
"Integrity hash (SHA-256)","Vientisumo maiša (SHA-256)"
"Copy hash","Kopijuoti maišą"
"Copy","Kopijuoti"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Bet kas, turintis pradinį kvito el. laišką, gali iš naujo apskaičiuoti šį maišos kodą, kad patvirtintų, jog kvitas nebuvo pakeistas. Neatitikimas reiškia, kad kvitas buvo pakeistas po jo išdavimo."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Šis puslapis yra neindeksuojamas (X-Robots-Tag: noindex) ir turi dažnio ribojimą. Pakartotiniai patikrinimo bandymai iš to paties IP yra ribojami."
"Verification failed","Patikra nepavyko"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Ši nuoroda neatitinka galiojančio atsisakymo kvito. Nuoroda gali būti neteisinga, kvitas galėjo būti atšauktas, arba patikrinimo užklausai buvo taikomas dažnio ribojimas. Jei nuorodą nukopijavote iš el. laiško, pabandykite dar kartą po kelių minučių — arba susisiekite su mumis, jei problema išlieka."
"Verify this receipt","Patikrinti šį patvirtinimą"
"Integrity hash","Vientisumo maišos kodas"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Šis SHA-256 maišos kodas unikaliai identifikuoja tavo atsisakymo įrašą. Bet kada gali jį patikrinti naudodamas mygtuką viršuje."
