"Withdrawal receipt verified","Herroepingsbewijs geverifieerd"
"Withdrawal receipt — verification failed","Herroepingsbewijs — verificatie mislukt"
"Public integrity check — Art. 11a Directive 2011/83/EU","Openbare integriteitscontrole — Art. 11a Richtlijn 2011/83/EU"
"Receipt verified","Bewijs geverifieerd"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Dit bewijs is cryptografisch ondertekend en is niet gewijzigd sinds het door de handelaar werd uitgegeven."
"Back to my account","Terug naar mijn account"
"Integrity hash (SHA-256)","Integriteitshash (SHA-256)"
"Copy hash","Hash kopiëren"
"Copy","Kopiëren"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Iedereen met de oorspronkelijke bewijs-e-mail kan deze hash opnieuw berekenen om te bevestigen dat het bewijs niet is gewijzigd. Een verschil betekent dat het bewijs na uitgifte is aangepast."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Deze pagina is niet-indexeerbaar (X-Robots-Tag: noindex) en snelheidsbeperkt. Herhaalde verificatiepogingen vanaf hetzelfde IP-adres worden afgeremd."
"Verification failed","Verificatie mislukt"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Deze link komt niet overeen met een geldig herroepingsbewijs. De link kan onjuist zijn, het bewijs kan zijn ingetrokken, of het verificatieverzoek is snelheidsbeperkt. Als u de link uit een e-mail heeft gekopieerd, probeer het dan over een paar minuten opnieuw — of neem contact met ons op als het probleem aanhoudt."
"Verify this receipt","Dit bewijs verifiëren"
"Integrity hash","Integriteitshash"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Deze SHA-256-hash identificeert je herroepingsdossier op unieke wijze. Je kunt het op elk moment verifiëren met de knop hierboven."
