"Withdrawal receipt verified","Ångerkvitto verifierat"
"Withdrawal receipt — verification failed","Ångerkvitto — verifiering misslyckades"
"Public integrity check — Art. 11a Directive 2011/83/EU","Offentlig integritetskontroll — art. 11a direktiv 2011/83/EU"
"Receipt verified","Kvitto verifierat"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Denna kvittens är kryptografiskt signerad och har inte ändrats sedan handlaren utfärdade den."
"Back to my account","Tillbaka till mitt konto"
"Integrity hash (SHA-256)","Integritetshash (SHA-256)"
"Copy hash","Kopiera hash"
"Copy","Kopiera"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Den som har det ursprungliga kvitto-e-postmeddelandet kan räkna om denna hash för att bekräfta att kvittensen inte har ändrats. Avvikelse betyder att kvittensen har ändrats efter utfärdandet."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Denna sida är inte indexerbar (X-Robots-Tag: noindex) och har frekvensbegränsning. Upprepade verifieringsförsök från samma IP begränsas."
"Verification failed","Verifiering misslyckades"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Denna länk matchar ingen giltig ångerkvittens. Länken kan vara felaktig, kvittensen kan ha återkallats, eller verifieringsförfrågan har frekvensbegränsats. Om du kopierade länken från ett e-postmeddelande, försök igen om några minuter — eller kontakta oss om problemet kvarstår."
"Verify this receipt","Verifiera detta kvitto"
"Integrity hash","Integritetshash"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Den här SHA-256-hashen identifierar entydigt din ångerregistrering. Du kan när som helst verifiera den med knappen ovan."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Den som har det ursprungliga kvitto-e-postmeddelandet kan räkna om denna hash för att bekräfta att kvittensen inte har ändrats. Avvikelse betyder att kvittensen har ändrats efter utfärdandet. Klicka på hashen för att markera den och kopiera sedan med Ctrl+C / ⌘+C."
