"Withdrawal receipt verified","Comprovativo de livre resolução verificado"
"Withdrawal receipt — verification failed","Comprovativo de livre resolução — falha na verificação"
"Public integrity check — Art. 11a Directive 2011/83/EU","Verificação pública de integridade — art. 11.º-A Diretiva 2011/83/UE"
"Receipt verified","Comprovativo verificado"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Este comprovativo está assinado criptograficamente e não foi modificado desde a sua emissão pelo comerciante."
"Back to my account","Voltar à minha conta"
"Integrity hash (SHA-256)","Hash de integridade (SHA-256)"
"Copy hash","Copiar hash"
"Copy","Copiar"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Qualquer pessoa que possua o e-mail original do comprovativo pode recalcular este hash para confirmar que o comprovativo não foi alterado. Uma discrepância significa que o comprovativo foi modificado após a emissão."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Esta página não é indexada (X-Robots-Tag: noindex) e tem limite de taxa. As tentativas repetidas de verificação a partir do mesmo IP são limitadas."
"Verification failed","Verificação falhou"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Esta ligação não corresponde a um comprovativo de livre resolução válido. A ligação pode estar incorreta, o comprovativo pode ter sido revogado, ou o pedido de verificação foi limitado em taxa. Se copiou a ligação de um e-mail, tente novamente dentro de alguns minutos — ou contacte-nos se o problema persistir."
"Verify this receipt","Verificar este comprovativo"
"Integrity hash","Hash de integridade"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Este hash SHA-256 identifica de forma única o seu registo de livre resolução. Pode verificá-lo a qualquer momento utilizando o botão acima."
