"Withdrawal receipt verified","Az elállási bizonylat ellenőrizve"
"Withdrawal receipt — verification failed","Elállási bizonylat — az ellenőrzés sikertelen"
"Public integrity check — Art. 11a Directive 2011/83/EU","Nyilvános integritás-ellenőrzés — 11a. cikk 2011/83/EU irányelv"
"Receipt verified","Nyugta ellenőrizve"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Ez a bizonylat kriptográfiailag aláírt, és a kereskedő általi kiállítása óta nem módosult."
"Back to my account","Vissza a fiókomhoz"
"Integrity hash (SHA-256)","Integritási hash (SHA-256)"
"Copy hash","Hash másolása"
"Copy","Másolás"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Bárki, aki rendelkezik az eredeti bizonylat e-mailjével, újraszámolhatja ezt a hash-t annak megerősítésére, hogy a bizonylatot nem módosították. Eltérés azt jelenti, hogy a bizonylatot a kiállítás után módosították."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Ez az oldal nem indexelhető (X-Robots-Tag: noindex) és sebességkorlátozott. Az ugyanarról az IP-címről érkező ismételt ellenőrzési kísérleteket korlátozzuk."
"Verification failed","Ellenőrzés sikertelen"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Ez a hivatkozás nem egyezik érvényes elállási bizonylattal. A hivatkozás hibás lehet, a bizonylatot visszavonhatták, vagy az ellenőrzési kérést sebességkorlátozás érte. Ha a hivatkozást e-mailből másolta, kérjük, próbálja meg újra néhány perc múlva — vagy lépjen kapcsolatba velünk, ha a probléma továbbra is fennáll."
"Verify this receipt","Nyugta ellenőrzése"
"Integrity hash","Integritás-hash"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ez a SHA-256 hash egyedileg azonosítja az elállási rekordodat. Bármikor ellenőrizheted a fenti gombbal."
