"Withdrawal receipt verified","Bonul de retragere a fost verificat"
"Withdrawal receipt — verification failed","Bon de retragere — verificarea a eșuat"
"Public integrity check — Art. 11a Directive 2011/83/EU","Verificare publică a integrității — art. 11a Directiva 2011/83/UE"
"Receipt verified","Chitanță verificată"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Acest bon este semnat criptografic și nu a fost modificat de la emiterea sa de către comerciant."
"Back to my account","Înapoi la contul meu"
"Integrity hash (SHA-256)","Hash de integritate (SHA-256)"
"Copy hash","Copiază hash-ul"
"Copy","Copiază"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Oricine deține e-mailul original al bonului poate recalcula acest hash pentru a confirma că bonul nu a fost modificat. O neconcordanță înseamnă că bonul a fost modificat după emitere."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Această pagină nu este indexată (X-Robots-Tag: noindex) și are o limită de rată. Încercările repetate de verificare de la aceeași IP sunt limitate."
"Verification failed","Verificarea a eșuat"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Acest link nu corespunde unui bon de retragere valid. Linkul poate fi incorect, bonul poate fi revocat sau cererea de verificare a fost limitată în rată. Dacă ați copiat linkul dintr-un e-mail, vă rugăm să încercați din nou peste câteva minute — sau contactați-ne dacă problema persistă."
"Verify this receipt","Verifică această confirmare"
"Integrity hash","Hash de integritate"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Acest hash SHA-256 identifică în mod unic înregistrarea ta de retragere. O poți verifica oricând folosind butonul de mai sus."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Oricine deține e-mailul original al bonului poate recalcula acest hash pentru a confirma că bonul nu a fost modificat. O neconcordanță înseamnă că bonul a fost modificat după emitere. Faceți clic pe hash pentru a-l selecta, apoi copiați cu Ctrl+C / ⌘+C."
