"Withdrawal receipt verified","Η απόδειξη υπαναχώρησης επαληθεύτηκε"
"Withdrawal receipt — verification failed","Απόδειξη υπαναχώρησης — η επαλήθευση απέτυχε"
"Public integrity check — Art. 11a Directive 2011/83/EU","Δημόσιος έλεγχος ακεραιότητας — Άρθρο 11α Οδηγία 2011/83/ΕΕ"
"Receipt verified","Η απόδειξη επαληθεύτηκε"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Αυτή η απόδειξη είναι κρυπτογραφικά υπογεγραμμένη και δεν έχει τροποποιηθεί από τότε που εκδόθηκε από τον έμπορο."
"Back to my account","Πίσω στον λογαριασμό μου"
"Integrity hash (SHA-256)","Hash ακεραιότητας (SHA-256)"
"Copy hash","Αντιγραφή hash"
"Copy","Αντιγραφή"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Όποιος διαθέτει το αρχικό email απόδειξης μπορεί να υπολογίσει εκ νέου αυτόν τον κατακερματισμό για να επιβεβαιώσει ότι η απόδειξη δεν έχει τροποποιηθεί. Αναντιστοιχία σημαίνει ότι η απόδειξη τροποποιήθηκε μετά την έκδοση."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Αυτή η σελίδα δεν ευρετηριάζεται (X-Robots-Tag: noindex) και έχει όριο ρυθμού. Επαναλαμβανόμενες προσπάθειες επαλήθευσης από την ίδια IP περιορίζονται."
"Verification failed","Η επαλήθευση απέτυχε"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Αυτός ο σύνδεσμος δεν αντιστοιχεί σε έγκυρη απόδειξη υπαναχώρησης. Ο σύνδεσμος μπορεί να είναι λανθασμένος, η απόδειξη μπορεί να έχει ανακληθεί ή το αίτημα επαλήθευσης περιορίστηκε ως προς το ρυθμό. Αν αντιγράψατε τον σύνδεσμο από email, προσπαθήστε ξανά σε λίγα λεπτά — ή επικοινωνήστε μαζί μας αν το πρόβλημα παραμένει."
"Verify this receipt","Επαλήθευση αυτής της απόδειξης"
"Integrity hash","Hash ακεραιότητας"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Αυτό το hash SHA-256 ταυτοποιεί μοναδικά την εγγραφή υπαναχώρησής σας. Μπορείτε να το επαληθεύσετε ανά πάσα στιγμή με το παραπάνω κουμπί."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Όποιος διαθέτει το αρχικό email απόδειξης μπορεί να υπολογίσει εκ νέου αυτόν τον κατακερματισμό για να επιβεβαιώσει ότι η απόδειξη δεν έχει τροποποιηθεί. Αναντιστοιχία σημαίνει ότι η απόδειξη τροποποιήθηκε μετά την έκδοση. Κάντε κλικ στον κατακερματισμό για να τον επιλέξετε και, στη συνέχεια, αντιγράψτε με Ctrl+C / ⌘+C."
