"Withdrawal receipt verified","Doklad o odstoupení byl ověřen"
"Withdrawal receipt — verification failed","Doklad o odstoupení — ověření se nezdařilo"
"Public integrity check — Art. 11a Directive 2011/83/EU","Veřejná kontrola integrity — čl. 11a směrnice 2011/83/EU"
"Receipt verified","Potvrzení ověřeno"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Tento doklad je kryptograficky podepsán a od jeho vystavení obchodníkem nebyl změněn."
"Back to my account","Zpět na můj účet"
"Integrity hash (SHA-256)","Integritní hash (SHA-256)"
"Copy hash","Kopírovat hash"
"Copy","Kopírovat"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Kdokoli, kdo má původní e-mail s dokladem, může přepočítat tento hash a ověřit, že doklad nebyl změněn. Neshoda znamená, že doklad byl po vystavení upraven."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Tato stránka je chráněna před indexací (X-Robots-Tag: noindex) a je omezena rychlostí. Opakované pokusy o ověření ze stejné IP adresy jsou omezovány."
"Verification failed","Ověření selhalo"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Tento odkaz neodpovídá platnému dokladu o odstoupení. Odkaz může být nesprávný, doklad mohl být zrušen, nebo byl požadavek na ověření omezen rychlostí. Pokud jste odkaz zkopírovali z e-mailu, zkuste to prosím znovu za několik minut — nebo nás kontaktujte, pokud problém přetrvává."
"Verify this receipt","Ověřit toto potvrzení"
"Integrity hash","Kontrolní hash"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Tento SHA-256 hash jednoznačně identifikuje tvůj záznam o odstoupení. Můžeš jej kdykoli ověřit pomocí tlačítka výše."
