"Withdrawal receipt verified","Potrdilo o odstopu je preverjeno"
"Withdrawal receipt — verification failed","Potrdilo o odstopu — preverjanje ni uspelo"
"Public integrity check — Art. 11a Directive 2011/83/EU","Javno preverjanje celovitosti — čl. 11a Direktiva 2011/83/EU"
"Receipt verified","Potrdilo preverjeno"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","To potrdilo je kriptografsko podpisano in od izdaje s strani trgovca ni bilo spremenjeno."
"Back to my account","Nazaj na moj račun"
"Integrity hash (SHA-256)","Hash integritete (SHA-256)"
"Copy hash","Kopiraj hash"
"Copy","Kopiraj"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Vsakdo, ki ima izvirno e-poštno potrdilo, lahko ponovno izračuna to zgoščevalno vrednost in potrdi, da potrdilo ni bilo spremenjeno. Neujemanje pomeni, da je bilo potrdilo po izdaji spremenjeno."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Ta stran ni indeksirana (X-Robots-Tag: noindex) in je omejena s hitrostjo. Ponavljajoči se poskusi preverjanja z istega IP-naslova so omejeni."
"Verification failed","Preverjanje ni uspelo"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Ta povezava se ne ujema z veljavnim potrdilom o odstopu. Povezava je morda nepravilna, potrdilo je morda preklicano ali pa je bila zahteva za preverjanje omejena s hitrostjo. Če ste povezavo kopirali iz e-pošte, poskusite znova čez nekaj minut — ali nas kontaktirajte, če težava ne mine."
"Verify this receipt","Preveri to potrdilo"
"Integrity hash","Zgoščena vrednost integritete"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ta zgoščena vrednost SHA-256 enolično identificira tvoj zapis o odstopu. Kadar koli jo lahko preveriš z gumbom zgoraj."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Vsakdo, ki ima izvirno e-poštno potrdilo, lahko ponovno izračuna to zgoščevalno vrednost in potrdi, da potrdilo ni bilo spremenjeno. Neujemanje pomeni, da je bilo potrdilo po izdaji spremenjeno. Kliknite zgoščevalno vrednost, da jo izberete, nato kopirajte s Ctrl+C / ⌘+C."
