"Withdrawal receipt verified","Taganemiskviitung on kinnitatud"
"Withdrawal receipt — verification failed","Taganemiskviitung — kinnitamine ebaõnnestus"
"Public integrity check — Art. 11a Directive 2011/83/EU","Avalik terviklikkuse kontroll — direktiivi 2011/83/EL art. 11a"
"Receipt verified","Kviitung kontrollitud"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","See kviitung on krüptograafiliselt allkirjastatud ja seda ei ole pärast kaupleja poolt väljastamist muudetud."
"Back to my account","Tagasi minu kontole"
"Integrity hash (SHA-256)","Terviklikkuse räsi (SHA-256)"
"Copy hash","Kopeeri räsi"
"Copy","Kopeeri"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Igaüks, kellel on algne kviitungi e-kiri, saab selle räsi uuesti arvutada, et kinnitada, et kviitungit ei ole muudetud. Mittevastavus tähendab, et kviitungit on pärast väljastamist muudetud."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","See leht ei ole indekseeritav (X-Robots-Tag: noindex) ja on kiiruspiiranguga. Korduvaid kinnituskatseid samalt IP-aadressilt piiratakse."
"Verification failed","Kinnitamine ebaõnnestus"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","See link ei vasta kehtivale taganemiskviitungile. Link võib olla vale, kviitung võis olla tühistatud või kinnituspäringut piirati kiirusega. Kui kopeerisite lingi e-kirjast, proovige mõne minuti pärast uuesti — või võtke meiega ühendust, kui probleem püsib."
"Verify this receipt","Kontrolli seda tõendit"
"Integrity hash","Terviklikkuse räsi"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","See SHA-256 räsi tuvastab unikaalselt sinu taganemiskirje. Saad seda igal ajal kontrollida ülaltoodud nupu abil."
