"Withdrawal receipt verified","Potvrda o odustajanju je provjerena"
"Withdrawal receipt — verification failed","Potvrda o odustajanju — provjera nije uspjela"
"Public integrity check — Art. 11a Directive 2011/83/EU","Javna provjera integriteta — čl. 11a Direktive 2011/83/EU"
"Receipt verified","Potvrda provjerena"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Ova potvrda je kriptografski potpisana i nije izmijenjena otkad ju je izdao trgovac."
"Back to my account","Natrag na moj račun"
"Integrity hash (SHA-256)","Hash integriteta (SHA-256)"
"Copy hash","Kopiraj hash"
"Copy","Kopiraj"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Svatko tko posjeduje izvornu e-poruku s potvrdom može ponovno izračunati ovaj hash kako bi potvrdio da potvrda nije izmijenjena. Nepodudarnost znači da je potvrda izmijenjena nakon izdavanja."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Ova stranica je zaštićena od indeksiranja (X-Robots-Tag: noindex) i ima ograničenje brzine. Ponovljeni pokušaji provjere s istog IP-a se ograničavaju."
"Verification failed","Provjera nije uspjela"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Ova poveznica ne odgovara valjanoj potvrdi o odustajanju. Poveznica može biti netočna, potvrda je možda opozvana ili je zahtjev za provjeru bio ograničen brzinom. Ako ste poveznicu kopirali iz e-pošte, molimo pokušajte ponovno za nekoliko minuta — ili nas kontaktirajte ako se problem nastavi."
"Verify this receipt","Provjeri ovu potvrdu"
"Integrity hash","Hash integriteta"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ovaj SHA-256 hash jedinstveno identificira zapis tvog odustanka. Možeš ga provjeriti u bilo kojem trenutku gumbom iznad."
