"Withdrawal receipt verified","Potwierdzenie odstąpienia zweryfikowane"
"Withdrawal receipt — verification failed","Potwierdzenie odstąpienia — weryfikacja nie powiodła się"
"Public integrity check — Art. 11a Directive 2011/83/EU","Publiczna weryfikacja integralności — art. 11a dyrektywy 2011/83/UE"
"Receipt verified","Potwierdzenie zweryfikowane"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","To potwierdzenie jest podpisane kryptograficznie i nie zostało zmodyfikowane od chwili jego wystawienia przez sprzedawcę."
"Back to my account","Powrót do mojego konta"
"Integrity hash (SHA-256)","Hash integralności (SHA-256)"
"Copy hash","Kopiuj hash"
"Copy","Kopiuj"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Każdy, kto posiada oryginalną wiadomość e-mail z potwierdzeniem, może ponownie obliczyć ten skrót, aby potwierdzić, że potwierdzenie nie zostało zmienione. Niezgodność oznacza, że potwierdzenie zostało zmodyfikowane po jego wystawieniu."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","Ta strona jest wyłączona z indeksowania (X-Robots-Tag: noindex) i objęta limitem żądań. Powtarzające się próby weryfikacji z tego samego IP są ograniczane."
"Verification failed","Weryfikacja nie powiodła się"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","Ten link nie pasuje do ważnego potwierdzenia odstąpienia. Link może być nieprawidłowy, potwierdzenie mogło zostać unieważnione, lub żądanie weryfikacji zostało objęte limitem żądań. Jeśli skopiowałeś/aś link z wiadomości e-mail, spróbuj ponownie za kilka minut — lub skontaktuj się z nami, jeśli problem nie ustępuje."
"Verify this receipt","Zweryfikuj to potwierdzenie"
"Integrity hash","Hasz integralności"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ten hasz SHA-256 jednoznacznie identyfikuje Twój zapis odstąpienia. Możesz go w każdej chwili zweryfikować, używając przycisku powyżej."
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance. Click the hash to select it, then copy with Ctrl+C / ⌘+C.","Każdy, kto posiada oryginalną wiadomość e-mail z potwierdzeniem, może ponownie obliczyć ten skrót, aby potwierdzić, że potwierdzenie nie zostało zmienione. Niezgodność oznacza, że potwierdzenie zostało zmodyfikowane po jego wystawieniu. Kliknij skrót, aby go zaznaczyć, a następnie skopiuj za pomocą Ctrl+C / ⌘+C."
